source_table,target_column,model,split_type,repeat,n_train,n_test,n_numeric_features,n_categorical_features,rmse,mae,r2,spearman,top_1pct_recovery,top_5pct_recovery,top_10pct_recovery,ndcg_10pct,hgb_skipped_due_to_categorical_features,feature_source,target_family,feature_table,task,gas,target_property,target_unit,split_group_column,descriptor_family
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,extratrees,random,2,48000,12000,5,0,1.671120483931177,0.42401839722222817,-0.1979148669999069,0.808944118245927,0.06666666666666667,0.25333333333333335,0.3775,0.5419189527110575,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,dummy,random,3,48000,12000,5,0,1.6072648300325816,0.8993167436666668,-0.034906382667212243,,0.008333333333333333,0.03833333333333333,0.09833333333333333,0.26972550450841676,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,ridge,random,3,48000,12000,5,0,1.291462358341246,0.34173716893458855,0.3318258233469986,0.8517838277693308,0.08333333333333333,0.36833333333333335,0.49833333333333335,0.612875599421773,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,hgb,random,3,48000,12000,5,0,1.280514959601832,0.3319280488218355,0.3431056974697214,0.850242479992991,0.1,0.31833333333333336,0.465,0.5948681319925796,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,randomforest,random,3,48000,12000,5,0,1.4330729753639262,0.38332543702093425,0.1772596547383689,0.8215973732669348,0.058333333333333334,0.26666666666666666,0.42833333333333334,0.5908032537893133,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,extratrees,random,3,48000,12000,5,0,1.6305886519671904,0.41075170597759353,-0.06516040280547397,0.810472216137607,0.06666666666666667,0.245,0.3875,0.5705530281065191,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,dummy,random,4,48000,12000,5,0,1.5336970292932548,0.8867905312500001,-0.03537076922014326,,0.008333333333333333,0.06166666666666667,0.10333333333333333,0.31754753003309916,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,ridge,random,4,48000,12000,5,0,1.2096730009121737,0.3343184242590158,0.3559008556853953,0.8519813239801415,0.09166666666666666,0.38166666666666665,0.5025,0.6374649034926869,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,hgb,random,4,48000,12000,5,0,1.2001596505661873,0.3229290686991749,0.36599192343987386,0.8499795392771641,0.058333333333333334,0.3616666666666667,0.4875,0.606100230249131,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,randomforest,random,4,48000,12000,5,0,1.3019947636929177,0.3716779299018482,0.2538344016157493,0.8216266998052923,0.125,0.3016666666666667,0.4275,0.5966497329635809,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,extratrees,random,4,48000,12000,5,0,1.4181826361325218,0.40353419965982645,0.11471914081055812,0.8082308238346596,0.09166666666666666,0.25833333333333336,0.38083333333333336,0.580052444057346,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,dummy,random,5,48000,12000,5,0,1.6350255858368472,0.9083235493333334,-0.049696147782246625,,0.0,0.04,0.10083333333333333,0.2842912339505772,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,ridge,random,5,48000,12000,5,0,1.312696534457154,0.341819381067411,0.3233825804566407,0.8532047046256909,0.08333333333333333,0.3516666666666667,0.49666666666666665,0.6081431413311552,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,hgb,random,5,48000,12000,5,0,1.3043337168387028,0.33383325332362057,0.33197619491082486,0.851068321762851,0.11666666666666667,0.31833333333333336,0.4633333333333333,0.5866648604515502,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,randomforest,random,5,48000,12000,5,0,1.4348396879686067,0.38188785146274207,0.19160939266086485,0.8221572610501515,0.09166666666666666,0.2866666666666667,0.43583333333333335,0.5820851375573753,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
